iteration	cumulative_reward
0	13.47
1	7.93
2	19.04
3	20.36
4	16.43
5	12.65
6	9.68999999999999
7	6.38
8	4.57
9	5.74999999999999
10	16.66
11	7.04999999999999
12	13.7
13	17
14	12.94
15	1.2
16	9.39999999999999
17	10.03
18	20.26
19	18.85
20	13.4
21	16.76
22	21.72
23	21.56
24	21.21
25	1.73
26	13.97
27	20.87
28	15.61
29	16.34
30	24.25
31	20.5
32	24.05
33	3.89
34	28.87
35	7.44999999999999
36	27.55
37	27.66
38	7.74
39	21.57
40	2.87
41	14.8
42	9.21
43	20.14
44	19.65
45	19.65
46	50.57
47	6.11
48	13.17
49	9.53999999999999
